"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2022-11","Private room in townhouse - private_room","402","55.65","811.88"
"2022-12","Private room in townhouse - private_room","548","70.25","1014.75"
"2023-01","Private room in townhouse - private_room","279","45.89","544.84"
"2023-02","Private room in townhouse - private_room","369","58.11","641.41"
"2023-03","Private room in townhouse - private_room","610","58.86","814.83"
"2023-04","Private room in townhouse - private_room","716","69.09","1040.61"
"2023-05","Private room in townhouse - private_room","765","65.96","1173.09"
"2023-06","Private room in townhouse - private_room","807","72.58","1202.16"
"2023-07","Private room in townhouse - private_room","1008","81.17","1520.84"
"2023-08","Private room in townhouse - private_room","1175","78.05","1629.13"
"2023-09","Private room in townhouse - private_room","1122","75.14","1602.88"
"2023-10","Private room in townhouse - private_room","662","53.41","1067.88"
"2023-07","Private room in vacation home - private_room","4","40.00","256.00"
"2023-08","Private room in vacation home - private_room","3","11.60","189.00"
"2023-10","Private room in vacation home - private_room","3","11.60","210.00"
"2022-11","Private room in villa - private_room","9","38.60","792.00"
"2022-12","Private room in villa - private_room","13","50.30","1125.00"
"2023-01","Private room in villa - private_room","31","100.00","2671.00"
"2023-02","Private room in villa - private_room","10","44.40","883.00"
"2023-03","Private room in villa - private_room","2","8.30","177.00"
"2023-04","Private room in villa - private_room","30","83.70","1156.00"
"2023-05","Private room in villa - private_room","28","57.10","1054.50"
"2023-06","Private room in villa - private_room","45","97.15","1703.00"
"2023-07","Private room in villa - private_room","38","80.95","1444.00"
"2023-08","Private room in villa - private_room","51","90.00","1833.00"
"2023-09","Private room in villa - private_room","41","80.00","1511.00"
"2023-10","Private room in villa - private_room","11","21.30","458.00"
"2023-01","Room in aparthotel - private_room","1","20.00","123.00"
"2023-02","Room in aparthotel - private_room","6","25.70","738.00"
"2023-03","Room in aparthotel - private_room","11","68.60","667.50"
"2023-04","Room in aparthotel - private_room","36","40.23","1142.25"
"2023-05","Room in aparthotel - private_room","28","29.60","959.50"
"2023-06","Room in aparthotel - private_room","27","27.52","992.40"
"2023-07","Room in aparthotel - private_room","35","31.94","1855.40"
"2023-08","Room in aparthotel - private_room","30","38.60","1853.40"
"2023-09","Room in aparthotel - private_room","34","45.80","2430.33"
"2023-10","Room in aparthotel - private_room","2","7.70","718.00"
"2022-11","Room in bed and breakfast - hotel_room","27","89.15","959.50"
"2022-12","Room in bed and breakfast - hotel_room","14","45.48","306.75"
"2023-01","Room in bed and breakfast - hotel_room","49","49.23","877.50"
"2023-02","Room in bed and breakfast - hotel_room","69","90.20","1298.50"
